"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"01","Air Cross Channel","19913","1991Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","235"
"01","Air Cross Channel","19914","1991Q4","TMQ01C1","Visitors to Ireland","Thousand","278"
"01","Air Cross Channel","19914","1991Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","179"
"01","Air Cross Channel","19921","1992Q1","TMQ01C1","Visitors to Ireland","Thousand","231"
"01","Air Cross Channel","19921","1992Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","184"
"01","Air Cross Channel","19922","1992Q2","TMQ01C1","Visitors to Ireland","Thousand","317"
"01","Air Cross Channel","19922","1992Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","224"
"01","Air Cross Channel","19923","1992Q3","TMQ01C1","Visitors to Ireland","Thousand","440"
"01","Air Cross Channel","19923","1992Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","265"
"01","Air Cross Channel","19924","1992Q4","TMQ01C1","Visitors to Ireland","Thousand","284"
"01","Air Cross Channel","19924","1992Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","200"
"01","Air Cross Channel","19931","1993Q1","TMQ01C1","Visitors to Ireland","Thousand","252"
"01","Air Cross Channel","19931","1993Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","177"
"01","Air Cross Channel","19932","1993Q2","TMQ01C1","Visitors to Ireland","Thousand","340"
"01","Air Cross Channel","19932","1993Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","208"
"01","Air Cross Channel","19933","1993Q3","TMQ01C1","Visitors to Ireland","Thousand","418"
"01","Air Cross Channel","19933","1993Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","272"
"01","Air Cross Channel","19934","1993Q4","TMQ01C1","Visitors to Ireland","Thousand","294"
"01","Air Cross Channel","19934","1993Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","213"
"01","Air Cross Channel","19941","1994Q1","TMQ01C1","Visitors to Ireland","Thousand","263"
"01","Air Cross Channel","19941","1994Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","240"
"01","Air Cross Channel","19942","1994Q2","TMQ01C1","Visitors to Ireland","Thousand","383"
"01","Air Cross Channel","19942","1994Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","249"
"01","Air Cross Channel","19943","1994Q3","TMQ01C1","Visitors to Ireland","Thousand","483"
"01","Air Cross Channel","19943","1994Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","319"
"01","Air Cross Channel","19944","1994Q4","TMQ01C1","Visitors to Ireland","Thousand","358"
"01","Air Cross Channel","19944","1994Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","264"
"01","Air Cross Channel","19951","1995Q1","TMQ01C1","Visitors to Ireland","Thousand","343"
"01","Air Cross Channel","19951","1995Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","252"
"01","Air Cross Channel","19952","1995Q2","TMQ01C1","Visitors to Ireland","Thousand","441"
"01","Air Cross Channel","19952","1995Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","297"
"01","Air Cross Channel","19953","1995Q3","TMQ01C1","Visitors to Ireland","Thousand","584"
"01","Air Cross Channel","19953","1995Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","344"
"01","Air Cross Channel","19954","1995Q4","TMQ01C1","Visitors to Ireland","Thousand","432"
"01","Air Cross Channel","19954","1995Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","307"
"01","Air Cross Channel","19961","1996Q1","TMQ01C1","Visitors to Ireland","Thousand","400"
"01","Air Cross Channel","19961","1996Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","328"
"01","Air Cross Channel","19962","1996Q2","TMQ01C1","Visitors to Ireland","Thousand","523"
"01","Air Cross Channel","19962","1996Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","325"
"01","Air Cross Channel","19963","1996Q3","TMQ01C1","Visitors to Ireland","Thousand","652"
"01","Air Cross Channel","19963","1996Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","400"
"01","Air Cross Channel","19964","1996Q4","TMQ01C1","Visitors to Ireland","Thousand","490"
"01","Air Cross Channel","19964","1996Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","344"
